name;title;category;blurb;hp;hpperlevel
Aatrox;a Darkin penge;Fighter;Aatrox legendás harcos, egy ősi faj, a darkinok utolsó öt megmaradt tagjának egyike. Hatalmas pengéjét könnyedén és kecsesen forgatja – hipnotikus látvány, ahogy ellenségeit tizedeli. Aatrox pengéje mintha életre kelne, és levágott ellenfelei vérét ...;537,8;85
Ahri;a kilencfarkú róka;Mage;Ellentétben más, Dél-Ionia erdőiben kalandozó rókákkal, Ahri mindig is érzett egy furcsa kapcsolatot az őt körülvevő mágikus világgal. Egy kapcsolatot, ami valahogy beteljesületlen maradt. Mélyen legbelül valami azt súgta, nem a megfelelő testbe ...;514,4;80
Akali;az árnyék ökle;Assassin;Létezik egy ősi, az Ioniai-szigetekről származó rend, amelynek küldetése az egyensúly megőrzése. Rend, káosz, fény, sötétség – mindennek tökéletes harmóniát kell alkotnia, az univerzum törvénye szerint. A Kinkou néven ismeretes rend az árnyharcosok ...;587,8;85
Alistar;a minotaurusz;Tank;Alistar, a Nagy-választóhegység minotaurusz törzseinek valaha élt leghatalmasabb harcosa Valoran számtalan fenyegetésétől védte meg az övéit, egészen a noxusi sereg érkezéséig. Keiran Darkwill, Boram Darkwill tábornok legkisebb fia és egyben a Noxusi ...;613,36;106
Amumu;a szomorú múmia;Tank;„Az egyedüllét magányosabb a halálnál is.”Amumu egy magányos, szomorú lélek az ősi Shurimából, aki az egész világot bejárja, hogy barátra leljen. Egy nagy erejű átok sújtja, amely örök egyedüllétre kárhoztatja, mert a múmia érintése halált, a ...;613,12;84
Anivia;a jégfőnix;Mage;Anivia a leghidegebb tél szülötte, a jégmágia misztikus megtestesülése, Freljord ősi védelmezője. Ő parancsol e vidék minden erejének és haragjának, hogy a hó és a metsző szél hatalmával védelmezze az otthonát azokkal szemben, akik ártó szándékkal ...;467,6;70
Annie;a sötét gyermek;Mage;Mindig is akadtak olyanok Noxusban, akik nem értettek egyet a Noxusi Főparancsnokság által elkövetett gonosztettekkel. A Főparancsnokság, miután épp leverte a magát trónörökösnek kikiáltó Raschallion herceg puccskísérletét, lecsapni készült mindenkire,...;511,68;76
Ashe;a fagyos íjász;Marksman;Minden egyes nyíl, amelyet Ashe ősi, varázserejű jégíjából kilő, bizonyítja, hogy ő az íjászat mestere. Minden célpontját gondosan választja meg, kivárja a megfelelő pillanatot, és akkor a kellő erővel és tökéletes pontossággal ereszti útjára ...;527,72;79
Aurelion Sol;a csillagok kovácsa;Mage;Aurelion Sol egykor a kozmosz mérhetetlen ürességét töltötte meg saját tervezésű, égi csodáival. Félelmetes erejét most egy űrutazó birodalom parancsára kénytelen kordában tartani, miután tőrbe csalták, és szolgaságra kényszerítették. Aurelion Sol ...;550;80
Azir;a sivatag császára;Mage;„Shurima egykor Runaterra ékköve volt. Gondoskodom róla, hogy ismét azzá legyen.”Azir egyszer régen Shurima halandó császára volt, egy büszke férfi, aki a halhatatlanság kapujában állt. Elvakult gőgjében azonban elárulták, és legnagyobb ...;524,4;80
Bard;a vigyázó vándor;Support;Bard olyan helyeket járt be, amelyek messze meghaladják a halandók képzeletét. Valoran legnagyobb tudósai tették fel egész életüket arra, hogy megértsék az őt körüllengő rejtélyt. Ezt a titokzatos lényt megannyi névvel illették Valoran történelme ...;535;89
Blitzcrank;a hatalmas gőzgólem;Tank;Zaun az a hely, ahol a mágia és a tudomány egyaránt balul ütött ki, a városállam pedig megszenvedte a szertelen kísérletek sokaságát. Ennek ellenére a zauni enyhe szabályozás még ma is lehetővé teszi a kutatók és feltalálók számára a tudomány ...;582,6;95
Brand;a lángoló bosszú;Mage;Valahol a távoli Lokfarban élt egyszer egy Kegan Rodhe nevű tengeri martalóc. Ahogyan a hozzá hasonlók, Kegan is keresztül-kasul járta a vizeket a bajtársaival, akikkel kifosztottak minden szerencsétlent, aki csak felkeltette az érdeklődésüket. ...;507,68;76
Braum;Freljord szíve;Support;– Szeretnéd, ha mondanék egy esti mesét?– Nagyi, én már túl nagy vagyok az ilyesmihez.– Ahhoz sosem lehetsz túl nagy, hogy meghallgass egy történetet.A kislány kelletlenül bekászálódott az ágyba, tudva, hogy ezt a csatát nem ...;576,16;87
Caitlyn;Piltover seriffje;Marksman;„Gyerünk, fuss csak! Kapsz öt perc egérutat.”Az egyik ok, amiért Piltovert a Fejlődés városaként is szokás emlegetni, az a rendkívül alacsony bűnözési arány. De ez nem volt mindig így. Minden rendű-rangú útonálló és tolvaj előszeretettel ...;524,4;80
Camille;az acélhölgy;Fighter;Camille Ferros egy élő fegyver, elegáns elit ügynök, akit arra képeztek, hogy a törvény határain kívül tevékenykedjen, és mindent megtesz azért, hogy a piltoveri gépezet és zauni tükörképe közötti kereskedelem zavartalanul működjön. Jó modorra ...;575,6;95
Cassiopeia;a kígyó ölelése;Mage;Cassiopeia iszonyatos teremtmény. Ez a félig nő, félig kígyó szörnyeteg akár egy pillantásával is képes ölni. Noxus egyik legbefolyásosabb családjának legfiatalabb lánygyermekeként egykor gyönyörű és ravasz csábító volt, aki a legkérgesebb szívű ...;525;75
Cho'Gath;az Üresség réme;Tank;Létezik egy hely a dimenziók és a világok között. Egyeseknek ez a Túlvilág, másoknak az Ismeretlen. Azonban akik valóban ismerik, azok számára ez az Üresség. A neve ellenére az Üresség egyáltalán nem üres, inkább megnevezhetetlen dolgok gyűjtőhelye, ...;574,4;80
Corki;a vakmerő tüzér;Marksman;Amikor Heimerdinger és yordle kollégái Piltoverbe költöztek, a tudományt választották életmódjuknak, és szinte azonnal számos úttörő munkával járultak hozzá a technomágiai közösség gyarapodásához. A yordlék, ha híján vannak a szellemi kalibernek, ...;512,76;82
Darius;Noxus keze;Fighter;Semmi nem jelképezheti jobban Noxus erejét, mint Darius, a nemzet legrettegettebb és legharcedzettebb katonája. A fiatalon árván maradt Dariusnak meg kellett küzdenie azért, hogy ő és az öccse életben maradjon. Mikorra belépett a seregbe, már egy ...;582,24;100
Diana;a Hold bajnoka;Fighter;„Én vagyok a fény, amely a Hold lelkében lakozik.”Diana ívelt holdpengéjével indul harcba a lunarik harcosaként. Olyan hit nevében küzd, amelyet szinte teljesen száműztek a Targon-hegy vidékéről. Az éjjeli holdfényben szikrázó téli hó színét ...;589,2;90
Draven;a dicső hóhér;Marksman;Bátyjával, Dariusszal ellentétben Dravent sosem elégítette ki a harctéri győzelem. Elismerés, ünneplés és dicsőség után sóvárgott. Először a noxusi hadseregben kereste a nagyságot, de színészi hajlamait ott a legkevésbé sem értékelték. Azon ...;557,76;82
Dr. Mundo;a zauni őrült;Fighter;„Óvakodj a zauni őrülttől! Az ő szemében te már rég halott vagy.”Úgy tartják, a Dr. Mundóként ismert férfi lelkiismeret nélkül született. Ehelyett olthatatlan vágy élt benne, hogy a kísérletezéseivel fájdalmat okozzon. Zaunban, ahol ...;582,52;89
Ekko;a fiú, aki legyőzte az időt;Assassin;Ekko, a Zaun sötét sikátoraiban nevelkedett fiatal zseni az idő manipulálásával minden helyzetet a maga javára képes fordítani. Saját találmánya, a Zéró meghajtó segíti, hogy bebarangolja a lehetséges valóságok útvesztőjét. Amikor épp nem a ...;580;80
Elise;a pókkirálynő;Mage;„A szépség is fegyver, és gyorsabb bármilyen pengénél.”Elise egy gyilkos ragadozó, aki egy világtól elzárt, fénytelen palotában él a noxusi Halhatatlan Bástya mélyén. Egykor halandó volt, egy valaha hatalmas nemesi ház úrnője, de egy gonosz ...;529,4;80
Evelynn;az árnyjáró;Assassin;A gyors és halálos Evelynn Runaterra egyik legjobb – és legdrágább – bérgyilkosa. Képes eggyé válni az árnyakkal, és türelmesen cserkészi be áldozatát, kivárva a megfelelő pillanatot. Bár Evelynn nyilvánvalóan nem teljesen ember, továbbra sem ...;531,2;90
Ezreal;a tékozló felfedező;Marksman;Ezreal, a fiatal és merész kalandor Runaterra legtávolibb és legelhagyatottabb sarkaiban is megfordult. Az ősi Shurima elsüllyedt romjaihoz indított expedíció során egy elképesztő varázserőt rejtő amulettre bukkant. Valószínűleg egy Felemelkedett ...;484,4;80
Fiddlesticks;a végzet hírnöke;Mage;Fiddlesticks közel húsz évig egyedül állt a Háború Intézetének legkeletebbre eső idézőkamrájában. Csupán ijesztő tekintetének égő smaragdzöld fénye járta át porlepte otthonának dohos sötétségét. Ez az a hely, ahol a Végzet Hírnöke virraszt csendesen. ...;524,4;80
Fiora;a nagy párbajhős;Fighter;„Eljöttem, hogy a becsület nevében végezzek veled. És bár beléd nem szorult egy szemernyi sem, ettől függetlenül végzek veled.”Fiora Valoran legrettegettebb párbajhőse, akinek nyers modora, éles esze és még gyorsabb kardja egyaránt jól ismert. ...;550;85
